shortform,full name
2600,atari 2600
3ds,nintendo 3ds
3do,magnavox odyssey
dc,dreamcast
ds,nintendo ds
gb,game boy
gba,game boy advance
gc,game boy colour
gen,game & watch
gg,gamecube
n64,nintendo 64
nes,nes classic edition
ng,n-gage
pc,pc engine cd-rom
pcfx,phillips cd-i
ps,playstation
ps2,playstation 2
ps3,playstation 3
ps4,playstation 4
psp,playstation portable
psv,playstation vita
sat,sega saturn
scd,sega cd
snes,super nes classic edition
tg16,pc engine/turbografx-16
wii,wii
wiiu,wii u
ws,wonderswan
x360,xbox 360
xb,xbox
xone,xbox one